ids,intents,sentences,sentence_orgin
4099,alarm_query,Chỉ để xác nhận bạn đặt báo thức sẽ tắt ở tám trăm ,just to confirm you set the alarm to go off at eight hundred
1785,iot_hue_lightoff,Hãy tắt bếp ,please turn off the kitchen
959,iot_cleaning,Robot thông qua các thiết bị hỗ trợ Bluetooth ,robot via bluetooth enabled devices
15883,email_sendemail,Tôi muốn trả lời Allen ,i want to reply to allen
12314,transport_query,Khi Indianapolis Express sẽ đến Indiana ,when indianapolis express will reach indiana
3163,alarm_query,Những báo động nào tôi đã đặt cho ngày mai ,what alarms have i set for tomorrow
1396,play_music,Chơi nhạc của Taylor Swift ,play music by taylor swift
10573,lists_query,Tôi có gì trong danh sách mua sắm của mình ,what do i have on my shopping list
5616,datetime_convert,Đặt múi giờ thành g. m. t. ,set the time zone to g. m. t.
14091,qa_definition,Siri có nghĩa là gì ,siri what does obstacle mean
3072,audio_volume_mute,Tôi muốn tắt tiếng loa ,i would like to mute the speakers please
13808,qa_factoid,Ferrell sẽ kiếm được bao nhiêu tiền cho bộ phim cuối cùng của mình ,how much money did will ferrel make for his last movie
13523,general_quirky,Mục đích của việc sử dụng bạn thay vì tìm kiếm một mình là gì ,what is the purpose of using you instead of searching on my own
13248,qa_factoid,Sinh nhật của Shakira khi nào ,when is shakira's birthday
14831,qa_factoid,Tìm tuổi của Brad Pitt ,find brad pitt's age
6586,general_quirky,Olly hôm nay là ngày tốt nhất của cuộc đời tôi ,olly today was the best day of my life
5865,news_query,Tôi muốn tin tức về Donald Trump ,i'd like news on donald trump
16793,email_query,Vui lòng liệt kê các dòng chủ đề của hai mươi email đã nhận được ,please list the subject lines of last twenty received emails
4446,transport_query,Bạn cần tìm một tuyến đường thay thế đến đích của tôi ,you need to find an alternate route to my destination
4508,play_music,Chơi danh sách phát được chơi nhiều nhất của tôi ,play my most played playlist
5054,news_query,Nói cho tôi biết về tin tức chính trị mới nhất ,tell me about the latest politics news
9967,cooking_recipe,Cách tốt nhất để nấu mì ống là gì ,what's the best way to cook pasta
