ids,intents,sentences,sentence_orgin
6435,quirky,màu bạn thích là gì ,what's your favorite color
3519,iot_hue_lightup,Chúng ta có thể bật đèn lên không ,can we turn up the lights
14258,general_quirky,Bạn có thể cho tôi biết màu sắc yêu thích của bạn ,can you tell me your favorite color
11307,play_podcasts,Chơi cho tôi podcast mới từ npr ,play me the new podcast from npr
6791,calendar_query,Những gì tiếp theo trên lịch của tôi ,what is next on my calendar
1573,iot_cleaning,Chạy máy hút bụi ,run the vacuum cleaner
2416,takeaway_query,Tôi có thể đặt hàng Takeout ở đâu ,where can i order takeout
12555,transport_traffic,Giao thông thế nào ,how is the traffic
1690,weather_query,Delly Dự báo thời tiết trong tuần này là gì ,olly what is this week's weather forecast
12211,transport_query,Có tàu nào đến từ Pune đến Mumbai tối nay không ,is there any train plying from pune to mumbai tonight
4625,news_query,Trump đã làm gì bây giờ ,what has trump done now
13917,qa_definition,ghế wicker là gì ,what's a wicker chair
1669,music,Christian Rock từ một nghìn chín trăm chín mươi lên chỉ nên được chọn và chơi ,christian rock from one thousand nine hundred and ninety upwards only should be selected and played
5407,takeaway_query,Tôi có thể có được takeaway từ ping ,can i get takeaway from pings
13649,qa_maths,Năm trên ba là gì ,what is five over three
9540,play_radio,Tìm đài phát thanh ,find radio
11935,recommendation_events,Những gì vào cuối tuần này trong mã zip của tôi ,what's on this weekend in my zipcode
9981,cooking_recipe,nấu cho tôi một ít mì ống với pho mát và mật ong trong đó ,cook me some pasta with cheese and honey in it
14157,qa_currency,Mười u là gì. S. d. bằng euro. ,what is ten u. s. d. in euros
9064,calendar_set,Đặt một sự kiện lịch lặp lại ,set a repeating calendar event
10003,cooking_recipe,Tôi muốn nấu mì ống theo phong cách Mỹ cho tôi thấy làm thế nào ,i want to cook pasta in american style show me how
8844,calendar_remove,Xóa tất cả các chi tiết của lịch của tôi ,delete all details of my calendar
8307,news_query,Những gì đã xảy ra ở NYC Times Square ngày hôm qua tại Noontime ,what happened in nyc times square yesterday at noontime
11433,play_podcasts,Tôi muốn nghe podcast từ trang web tôi đã ở sớm hơn ,i would like to hear the podcast from the website i was at earlier
13640,qa_stock,bao nhiêu một cổ phiếu của cổ phiếu trong chi phí lego ,how much does one share of stock in lego cost
16108,email_querycontact,Số điện thoại nhà của Jill là gì ,what is jill's home phone number
417,alarm_set,Làm báo động cho bốn giờ chiều ,make an alarm for four pm
13137,qa_factoid,Có bao nhiêu đại dương ,how many oceans are there
3069,takeaway_order,Đặt hàng cho tôi một số thực phẩm Trung Quốc ,order me some chinese food
9747,play_audiobook,Tiếp tục niềm tự hào và định kiến ,resume pride and prejudice
14561,general_quirky,Những điều làm cho một người phụ nữ hạnh phúc ,what are the things make a woman happy
2663,play_music,PlayList PlayList. ,play country playlist
5039,weather_query,Có mưa trong khu vực của tôi không ,is it rainy in my area
11863,recommendation_events,olly. ,olly
10394,play_game,xin vui lòng chơi theo đuổi tầm thường với tôi ,please play trivial pursuit with me
1232,takeaway_order,Cho tôi lựa chọn cho người thực hiện Ấn Độ dưới đô la ,give me options for indian carryout under dollars
14300,qa_stock,Giá Google là bao nhiêu ,what price google up to
8411,calendar_set,Đặt sự kiện trong lịch ,set event in the calendar
9846,play_audiobook,Tiến bộ từ điểm tạm dừng cuối cùng của cuốn sách âm thanh của tôi ,progress from the last paused point of my audio book
7621,calendar_remove,Xóa tất cả các sự kiện lịch của tôi ,remove all my calendar events
14993,qa_factoid,Hãy cho tôi biết từ khóa về Usain Bolt ,tell me keywords about usain bolt
1898,iot_hue_lightoff,chuyển ánh sáng ban công để tắt ,shift the balcony light to off
15286,social_query,Mở tài khoản phương tiện truyền thông xã hội ,open social media account
5399,alarm_remove,Xóa tất cả báo động của Chủ nhật ,remove all alarm of sunday
395,datetime_convert,Sự khác biệt về thời gian giữa thời gian miền đông và thời gian Thái Bình Dương là gì ,what is the time difference between eastern time and pacific time
4395,audio_volume_up,Xin hãy nói lên ,please speak up
10875,lists_remove,Vui lòng xóa danh sách này ,please delete this list
15315,social_post,Tới Facebook sau đó đi đến Post Feed của Lori Chúc mừng sinh nhật Lori Point On Feed của cô ấy ,go to facebook then go to lori's feed post happy birthday lori exclamation point on her feed
6070,takeaway_query,Tình trạng giao bánh pizza từ Pizza Hut ,status for the pizza delivery from pizza hut
14960,qa_factoid,Ai là người chơi bóng đá đạt điểm cao nhất mọi thời đại ,who is highest scoring football player of all time
16141,email_query,Hiển thị tất cả các email nhận được gần đây với dấu thời gian ,show all the received emails recently with timestamp
5203,datetime_convert,Tám giờ sáng Manila là những gì trong thời gian phương Đông ,eight am manila time is what in eastern time
3842,iot_cleaning,Lấy Roomba để bắt đầu làm sạch ,get the roomba to start cleaning
450,coffee,Làm cà phê olly. ,make coffee olly
3849,news_query,Tôi có thể nhận được một bản tóm tắt trên những tin tức mới nhất đang diễn ra trên thế giới ,can i get a recap on the latest news going on in the world
15433,social_post,Dịch vụ khách hàng từ Microsoft không bao giờ gọi lại cho tôi ,customer service from microsoft never called me back
4286,iot_hue_lightup,sáng ánh sáng ,brighten light
7754,calendar_set,Đặt một sự kiện định kỳ trong lịch của tôi ,set a recurring event in my calendar
16456,email_addcontact,Thêm email oriam @ gmail dot com vào danh bạ của tôi ,add the email oriam@gmail dot com to my contacts
5065,news_query,Tin tức mới nhất từ Jersey ,latest news from jersey
3627,iot_coffee,Olyly làm cho tôi một tách cà phê ,olly make me a cup of coffee
15217,general_quirky,chụp ảnh ,take a snap
16452,email_querycontact,Tôi có cuộc gọi nhỡ từ Patrick không ,do i have any missed call from patrick
314,iot_hue_lightup,Đặt đèn lên toàn bộ công suất ,set lights to full power
10180,cooking_recipe,Làm thế nào để tôi nấu một quả trứng luộc cứng ,how do i cook a hard boiled egg
60,alarm_remove,dừng báo thức bảy giờ sáng ,stop seven am alarm
10316,play_game,Bạn có muốn chơi không bao giờ tôi từng có ,would you like to play never have i ever
3740,news_query,cung cấp cho tôi những tin tức mới nhất thế giới ,provide me the world latest news
1514,weather_query,Có phải nó được cho là mưa tối nay ,is it supposed to rain tonight
4898,music_query,Làm thế nào bài hát này ,how this song
4505,weather_query,trời có nắng Không ,is it sunny
14800,qa_factoid,Nile dài bao nhiêu ,how long is the nile
16683,email_querycontact,Địa chỉ nhà của Joe Joe là gì ,what is joe joe's home address
14830,qa_factoid,là Mt Everest ngọn núi cao nhất ở Hoa Kỳ ,is mt everest the tallest mountain in the united states
15650,social_query,Ai đã viết thư cho tôi hoặc đề cập đến tôi trong phương tiện truyền thông xã hội ,who has written to me or mentioned me in social media
10456,lists_query,Tôi có chuối trong danh sách mua sắm của mình không ,do i have banana in my shopping list
1037,alarm_query,Những báo động nào tôi đã đặt cho thứ năm ,what alarms do i have set for thursday
1723,weather_query,Điều kiện thời tiết của Lucknow sẽ là bao nhiêu vào ngày thứ chín từ tháng 2 đến mười bảy tuổi ,what will the weather conditions of lucknow on ninth february two thousand and seventeen
7118,calendar_query,Tôi có gì cho ngày hôm nay ,what do i have for today
10877,lists_createoradd,Bắt đầu danh sách ,start list
12996,general_quirky,Tôi có cần kiểm tra áp suất lốp của tôi không ,do i need my tire pressure checked
4016,alarm_remove,Olly loại bỏ báo thức thức dậy của tôi ,olly remove my wake up alarm
1013,datetime_convert,Có bao nhiêu giờ chênh lệch là Hồng Kông từ thành phố New York ,how many hours difference is hong kong from new york city
998,iot_hue_lightoff,Biến phòng này tắt đèn ,turn this room light off
1885,news_query,cho tôi các tiêu đề từ tin tức trên bầu trời ,give me the headlines from sky news
888,datetime_query,Bây giờ chúng ta đang nhìn vào lúc mấy giờ ,what time are we looking at right now
9796,play_audiobook,Vui lòng khởi động lại câu chuyện của Handmaid ,please restart the handmaid's tale
11594,qa_stock,bao nhiêu lãi suất sẽ được tính ,how much rate will be calculated
1955,music_settings,Lặp lại bài hát đang chơi ngay bây giờ ,repeat the song playing now
10329,play_game,Bắt đầu trò chơi poker ,start the poker game
8636,calendar_remove,Bạn có thể xóa cuộc hẹn của các bác sĩ tôi đã có thứ ba ,can you delete the doctors appointment i had tuesday
14389,qa_stock,Giá trị của Apple là bao nhiêu ,how much is apple stock worth
11327,play_podcasts,Chơi tải lên podcast gần đây nhất ,play most recent podcast upload
1765,news_query,xin vui lòng cho tôi cập nhật bóng đá ,please give me update of football
13326,general_quirky,Giờ từ CVS là gì ,what are the hours from cvs
16832,email_query,hey olly đã có được bất kỳ email mới nào ,hey olly did i get any new emails
5079,music_query,Đề xuất các nghệ sĩ tương tự như Rihanna ,recommend artists similar to rihanna
9289,play_radio,Tôi muốn nghe chín mươi chín điểm năm ,i'd like to listen to ninety nine point five
5132,datetime_query,Xin vui lòng cho tôi biết thời gian ở Tokyo Nhật Bản là gì ,please tell me what is the time in tokyo japan
15827,email_sendemail,Chuyển đến Danh bạ và thêm email mới vào danh sách ,go to contacts and add a new email to the list
12379,transport_ticket,Đặt vé tàu từ Washington DC đến Savannah Georgia ,book a train ticket from washington dc to savannah georgia
4096,alarm_set,Tôi cần một bộ báo động cho tám giờ sáng ,i need an alarm set for eight am
12510,transport_ticket,Google tìm kiếm vé tàu vé ,google search booking train ticket
12721,transport_traffic,giao thông nặng nề như thế nào trên liên bang hai mươi ,how heavy is traffic on interstate twenty
11165,lists_query,Mở Notepad ,open note pad
8841,calendar_set,Thêm vào lịch mỗi năm vào ngày hai tháng 5 là sinh nhật của Mary ,add to calendar every year on may two is mary's birthday
