ids,intents,sentences,sentence_orgin
3145,play_music,Chơi danh sách phát David Bowie ,play david bowie playlist
6245,general_quirky,Có một lưu lượng lớn trên đường về nhà ,there was heavy traffic on my way home
8175,calendar_query,Các sự kiện tiếp theo của tôi là gì ,what's my next events
10997,lists_createoradd,Bạn có thể thêm Gloria vào danh sách khách hàng của mình không ,can you add gloria to my list of clients
11232,lists_query,Cho tôi tên danh sách của tôi ,give me the names of my lists
10934,lists_createoradd,Tôi cần bạn đặt con chó đi bộ trong danh sách của tôi để làm ,i need you to put walk the dog on my list to do
3691,weather_query,nhiệt độ hiện tại ở austin là gì ,what is the current temperature in austin
1895,alarm_set,đặt báo động lúc năm giờ sáng ,put alarm at five am
6532,general_quirky,Tâm trạng của bạn hôm nay là gì ,what is your mood today
78,music_likeness,Bài hát bạn đang chơi thật tuyệt vời ,the song you are playing is amazing
7795,calendar_query,Cuộc họp buổi sáng thứ ba ở đâu ,where is tuesday's morning meeting
7282,calendar_query,Làm thế nào bận rộn là lịch trình của tôi ngày hôm nay ,how busy is my schedule today
1921,general_greet,chào buổi tối ,good evening
12315,transport_traffic,xin vui lòng cho tôi báo cáo giao thông cho chiều nay ,please give me the traffic report for this afternoon
8935,calendar_set,Các sự kiện sắp tới là gì ,what are the events coming up soon
12401,transport_ticket,Đặt tôi trên một chuyến tàu rời khỏi ga Penn ngày mai đi du lịch đến bất kỳ thành phố nào hơn hai trăm dặm ,book me on a train leaving penn station tomorrow travelling to any city more than two hundred miles away
2380,news_query,Những gì đã xuất hiện trong tin tức gần đây ,what has shown up in the news recently
13065,general_quirky,Tôi đang lái xe xin vui lòng tự động trả lời các cuộc gọi của tôi trên loa điện thoại ,i'm driving please auto answer my calls on speaker phone
9240,play_radio,bạn có thể chơi nhạc acoustic không có quảng cáo không ,can you play acoustic music with no commercials
5170,news_query,Chỉ cho tôi bài viết về iPhone mới Tám ,show me articles about the new iphone eight
6217,general_quirky,Olly tôi đã đi đến cửa hàng tạp hóa ngày hôm nay ,olly i went to the grocery store today
6942,calendar_set,Đặt một sự kiện ,set an event
8147,calendar_remove,Xóa buổi hòa nhạc khỏi các sự kiện lịch ,remove the concert from the calendar events
5861,iot_hue_lightdim,Giảm cường độ ánh sáng ,reduce the intensity of lights
14472,qa_factoid,Thành tựu của Sachin Tendulkar ,achievements of sachin tendulkar
15168,social_post,Đăng vị trí hiện tại của tôi trên Instagram ,post my current location on instagram
