ids,intents,sentences,sentence_orgin
2398,play_music,Bắt đầu âm nhạc Celine Dion ,initiate celine dion music
950,weather_query,Thời tiết ở New York là gì ,what is the weather like in new york
1200,general_joke,olly nói điều gì đó buồn cười ,olly say something funny
6383,general_quirky,Bạn có bán bất kỳ thông tin nào của tôi cho các nhà quảng cáo ,do you sell any of my information to advertisers
10632,lists_query,cho tôi biết những gì trong danh sách ,tell me what is on the list
3115,play_music,Chơi pháo hoa của Katy Perry ,play firework by katy perry
16959,email_query,Ai đã gửi cho tôi email ngày hôm nay và chủ đề là gì ,who sent me email today and what was the subject
12053,recommendation_movies,Những bộ phim được đánh giá cao là gì vào cuối tuần này ,what highly rated movies are playing this weekend
15074,qa_definition,cho tôi một mô tả về nắm tay sắt trên netflix ,give me a description of iron fist on netflix
539,music_query,Tìm kiếm tên album với Katy Perry ,search the album name with katy perry
2240,weather_query,Dự báo thời tiết trong tuần này ,weather forecast for this week
16628,email_query,Đọc email không được kiểm tra ,read unchecked email
16203,email_query,Tôi có bất kỳ tin nhắn hộp thư đến mới nào không ,do i have any new inbox message
1846,takeaway_order,hey google hey gọi nhà hàng Trung Quốc gần nhất cho một takeaway ,hey google hey call the nearest chinese restaurant for a takeaway
5129,play_music,Chơi Playlist One. ,play playlist one
15819,email_addcontact,Tạo liên lạc mới ,create new contact
8898,calendar_query,thông tin ,information
12195,transport_traffic,Cho tôi cập nhật lưu lượng truy cập tại New York ,give me the update on traffic at new york
1335,music_likeness,Tôi thích âm nhạc của Justin Bieber xin vui lòng chơi nó ,i like justin beibers music please play it
11297,play_podcasts,Chơi một podcast về các video yoga mới nhất ,play a podcast about latest yoga videos
13887,qa_factoid,mảnh đất nông nhất là gì ,what is the shallowest piece of land
14965,qa_stock,Tỷ lệ đi cho cổ phiếu Wells Fargo là gì ,what is the going rate for wells fargo stock
5493,news_query,Tin tức mới nhất về cải cách chăm sóc sức khỏe là gì ,what is the latest news on the health care reform
3078,music_query,Lời bài hát cho bài hát này là gì ,what are the lyrics to this song
3916,news_query,Tin tức địa phương mới nhất là gì ,what is the most current local news
5714,iot_hue_lightchange,Thay đổi màu sắc của đèn ,color change of lights
14171,qa_factoid,tìm kiếm về sở thích của mình ,search on his interests
17012,email_sendemail,Tôi cần một email để được gửi đến sdfa @ hotmail dot com ,i need an email to be sent to sdfa@hotmail dot com
14271,qa_definition,Xác định những gì một phù thủy là ,define what a wizard is
13723,qa_definition,Xác định máy tính ,define computer
13187,qa_maths,Hãy cho tôi biết công thức cho khu vực của vòng tròn ,tell me formula for area of circle
4365,datetime_query,Thời gian ở Hyderabad là gì ,what is the time in hyderabad
9427,play_radio,Vui lòng tìm cho tôi một trạm âm nhạc đồng quê ,please find me a country music station
6560,general_quirky,Điều gì sẽ là một bữa tối lãng mạn tốt ,what would be a good romantic dinner
16,iot_hue_lightdim,olly mờ đèn trong hội trường ,olly dim the lights in the hall
2036,takeaway_query,Bao lâu cho đến khi tôi nhận được thức ăn của tôi ,how long until i receive my food
5293,alarm_set,đồng hồ báo thức ,alarm set
10567,lists_remove,Xóa danh sách tạp hóa ,remove the grocery list
8087,calendar_remove,Tôi có thể loại bỏ một lời nhắc nhở ,can i remove a reminder
11471,play_podcasts,Bắt đầu tuần này cho bữa tối Podcast ,start this week for dinner podcast
4357,iot_cleaning,hút chân không làm mát thảm khỏi thảm ,vacuum the carpet freshener from the carpet
8794,calendar_query,tôi có bất cứ điều gì lên kế hoạch ngày hôm nay ,do i have anything planned today
2896,iot_hue_lightoff,Tắt đèn thông minh trong den ,turn off smart lamp in den
1752,play_music,Chơi tất cả các bài hát của Anirudh ,play all songs by anirudh
15764,email_sendemail,hey xin vui lòng trả lời email của pawel cuối cùng ,hey please reply to last pawel's email
14793,qa_factoid,Sinh nhật elvis là khi nào ,when is elvis birthday
6412,general_quirky,Những đứa trẻ đang khiến tôi phát điên ,the kids are driving me crazy
836,news_query,Tin đồn mới nhất của Hollywood đang diễn ra là gì ,what is latest gossip of hollywood going on
11838,recommendation_events,Tôi nên làm gì vào cuối tuần này ,what should i do this weekend
11655,recommendation_locations,Các nhà hàng Việt Nam trong khu vực là gì ,what are the vietnamese restaurants in the area
9377,play_radio,Xoay lên kênh BBC Radio One ,turn on channel bbc radio one please
9337,play_radio,Chơi Sirius trên đài phát thanh vệ tinh ,play sirius on satellite radio
14630,general_quirky,tình yêu tình dục bình đẳng ,does love equal sex
