ids,intents,sentences,sentence_orgin
8381,calendar_query,sự kiện vào tháng ba mười chín lúc hai chiều là gì về ,what is the event on march nineteenth at two pm about
4858,datetime_query,ngày nào trong tuần là tháng 2 năm mười chín bảy mươi hai ,what day of the week was february four nineteen seventy two
13238,qa_definition,Từ đồng nghĩa. ,synonyms
4738,datetime_query,Bây giờ là mấy giờ ở Chicago ,what time is it in chicago
10574,calendar_query,Tôi có nhiệm vụ nào ngày hôm nay không ,do i have any tasks today
3661,alarm_set,Làm báo động cho buổi sáng ,make an alarm for the morning
16819,email_querycontact,cho tôi xem danh bạ của tôi ,show me my contacts
4880,iot_hue_lightchange,Thay đổi màu sắc ,change color
119,general_joke,khiến tôi cười ,make me laugh
9661,play_radio,Mở chương trình này ,open this program
9481,play_radio,bật chín mươi bảy ,turn on hot ninety seven
15123,qa_currency,Một đô la là gì trong euro ,what is one dollar in euros
6346,general_quirky,Này mọi chuyện thế nào rồi ,hey how's it going
13498,qa_definition,trống có nghĩa là gì ,what does blank mean
9675,play_audiobook,bạn có thể chơi cuốn sách âm thanh yêu thích của tôi về vua kong ,can you play my favorite audio book of king kong
9579,play_radio,Bắt đầu đài phát thanh POP ,start the pop radio station
5302,weather_query,Ok Google Thời tiết sẽ như thế nào vào tháng 3 Twentieth hai ngàn và mười bảy ,ok google what is the weather going to be like on march twentieth two thousand and seventeen
3682,music_query,Ai là ca sĩ của bài hát này ,who is the singer of this song
6012,datetime_query,bạn có thời gian không ,do you have the time
6855,alarm_set,Đặt báo thức lúc mười giờ sáng ngày mai và gắn nhãn là cuộc họp ,set an alarm at ten am tomorrow and label it as meeting
5233,qa_factoid,người được bổ nhiệm làm Phó CM của Uttar Pradesh ,who was appointed as deputy cm of uttar pradesh
15962,email_sendemail,Kéo lên Outlook Tôi cần gửi email ,pull up outlook i need to send a email
1596,datetime_query,Mấy giờ ở Dallas ,what time is it in dallas
2435,iot_cleaning,Máy hút bụi robot trên ,robot vacuum cleaner on
9509,play_radio,Đặt đài phát thanh ,set radio
7234,calendar_query,nói về sự kiện vào ngày hôm sau ,tell next day's event
731,iot_hue_lightup,tắt đèn ,turn out the lights
12820,transport_traffic,hiển thị giao thông ,show traffic
5489,takeaway_order,Đặt hàng tiếng Trung để giao hàng ,order chinese for delivery
5239,news_query,Hiển thị tin tức hôm nay về di chuyển ,show todays news about migration
13,hue_lightoff,Thời gian để ngủ olly ,time to sleep olly
10907,lists_createoradd,Bạn có thể tạo một danh sách mới cho tôi ,could you create a new list for me
4030,play_music,Alexa chơi Pandora Nineties Dance Party ,alexa play pandora nineties dance party
9094,calendar_remove,Xóa cuộc họp được lên lịch với John vào hai mươi mốt tháng 3 ,delete meeting scheduled with john on twenty one march
6163,alarm_remove,quên báo động ,forget alarm
4794,iot_hue_lightoff,Làm ơn tắt đèn trong phòng ngủ của tôi ,shut the lights off in my bedroom please
13274,general_quirky,tuổi của tôi là bao nhiêu ,what is my age
12691,transport_traffic,Giao thông nặng nề ở Denver nặng bao nhiêu ,how heavy is traffic now in denver
615,music,Chơi các bài hát từ danh sách phát của tôi ,play songs from my playlist
8467,calendar_query,Nói cho tôi biết về các sự kiện sắp tới của tôi ,tell me about my upcoming events
2631,takeaway_order,Chỉ cho tôi các nhà hàng Takeout gần đó ,show me nearby takeout restaurants
5388,music_query,ai là bài hát chơi bởi ,who is the song playing by
1974,iot_hue_lightoff,Tắt đèn gara ,turn off garage light
7527,calendar_set,Vào ngày hai mươi ba tháng ba tôi phải đi gặp dì của tôi ,on twenty third march i have to go to meet my aunt
3815,weather_query,Có phải ngày mai sẽ nóng ,s it going to be hot tomorrow
5766,iot_cleaning,bắt đầu máy hút bụi ,initiate vacuum cleaner
8337,calendar_query,Bao lâu cho đến cuộc hẹn bác sĩ tiếp theo của tôi ,how long until my next doctor appointment
12000,recommendation_events,Những loại sự kiện âm nhạc tôi có thể tìm thấy xung quanh tôi ,what sort of music events can i find going on around me
3468,datetime_query,Bây giờ là mấy giờ ở Thái Bình Dương ,what time is it right now in pacific time
8518,calendar_set,Đặt lời nhắc trong ba giờ ,set reminder for three o'clock
1813,iot_coffee,Tôi cần cà phê tốt nhất là nóng ,i need coffee please preferably hot
819,play_music,Google Music tìm cho tôi một số enya để nghe ,google music find me some enya to listen to
17161,email_addcontact,Lưu trữ danh bạ của tôi ,store my contacts
13220,email_query,Kiểm tra tin nhắn mới trong Hộp thư đến ,check new message in inbox
2219,weather_query,Thời tiết ở Dhaka. ,weather in dhaka
8712,calendar_query,Kiểm tra chương trình nghị sự của tôi cho ngày hôm nay ,check my agenda for today
9140,calendar_query,Cần thông tin về các sự kiện trước khi thành ca kết thúc ,need information about events before shift ends
12984,qa_definition,Định nghĩa của sự bất biến là gì ,what is the definition of capricious
1767,datetime_convert,Chuyển đổi hai nghìn ba trăm ba mươi từ g. m. t. cộng thêm bốn trăm ba mươi đến g. m. t. hai trăm ,convert two thousand three hundred and thirty from g. m. t. plus four hundred and thirty to g. m. t. two hundred
1450,iot_hue_lighton,bật đèn lên ,turn the lights on
13406,qa_factoid,khối lượng của một lò vi sóng là bao nhiêu ,what is the mass of a microwave
9626,play_radio,Hãy điều chỉnh vào buổi sáng Korn ,tune into the korn morning show please
14048,qa_factoid,Một thực tế địa lý trong khu vực này là gì ,what is a geographic fact in this region
10890,lists_query,cho tôi danh sách mua sắm ,give me the shopping list
7906,calendar_set,Cuộc họp nhiệm vụ ,task meeting
10948,lists_query,Tôi đã lưu loại danh sách nào ,what kind of lists do i have saved
5777,takeaway_query,Tình trạng lấy đi ,status of take away
7802,calendar_query,mở lời nhắc của tôi ,open my reminders
9229,play_radio,Chơi cho tôi một kênh radio hàng đầu ,play me the top one radio channel
