ids,intents,sentences,sentence_orgin
9647,radio,Chơi Đài phát thanh ,play radio station
15884,email_query,Tra cứu cập nhật email của tôi ,look up for my email updates
3687,play_music,Tôi muốn nghe một số nhạc rap ngay bây giờ ,i would like to listen to some rap music right now
1175,audio_volume_other,thoải mái điều chỉnh âm thanh ,comfortably adjust sound
1619,iot_coffee,lấy cho tôi một ly cà phê ,get me a coffee
121,general_joke,cho tôi biết một trò đùa tốt ,tell me a good joke
11048,lists_query,danh sách của tôi ở đâu ,where is my list
3027,weather_query,Tích lũy dự đoán tuyết ở Buffalo ,accumulation of snow predictions in buffalo
2249,play_music,xin vui lòng chơi bài hát nakumukka cho tôi ,please play nakumukka song for me
15999,email_query,Vui lòng kiểm tra xem email của Jancy đã đến chưa ,please check whether the email of jancy has come
11249,lists_createoradd,tham gia này ,join this
16790,email_querycontact,Bạn biết gì về Mary ,what do you know about mary
7656,calendar_set,Alexa cho tôi danh sách để làm của tôi cho ngày hôm nay ,alexa give me my to do list for today
11805,recommendation_events,Những loại hoạt động miễn phí tôi có thể làm tại địa phương trong tuần này ,what kind of free activities can i do locally this week
11153,lists_createoradd,Thêm MOP vào danh sách cửa hàng phần cứng ,add mop to hardware store list
7138,calendar_set,Lịch mời cho bữa sáng với Sarah lúc tám giờ sáng ,calendar invite for breakfast with sarah at eight am
9419,play_music,Chơi một số nhạc đồng quê ,play some country music
9258,play_radio,Bắt đầu đài phát thanh ,start the radio
942,datetime_query,bây giờ là mấy giờ ở london ,what is the time in london right now
17004,email_query,Hiển thị tất cả các email hợp đồng ,show all emails of contract
3930,play_music,Chơi bài hát mới nhất của tôi Taylor Swift ,play me taylor swift's newest song
14146,qa_factoid,xin vui lòng cho biết ai đã phát minh ra điện thoại và ngày là gì ,please tell who invented telephone and what is the date
16661,email_query,Tôi có bất kỳ email mới nào từ dan ,do i have any new emails from dan
6552,general_quirky,Câu chuyện của bộ phim Titanic là gì ,what is the story of the movie titanic
4528,alarm_query,Bạn có thể cho tôi biết về báo động được gọi là giường ,can you tell me about the alarm called bed
9117,calendar_set,bạn vui lòng thông báo cho tôi về sự kiện trong lịch của tôi ,would you please notify me about the event in my calendar
1198,weather_query,cho tôi biết nhiệt độ trong thành phố của chúng ta ở mười hai chiều là gì ,tell me what was the temperature in our city at twelve pm
2106,play_music,Chơi bất cứ thứ gì của Cat Stevens và tôi sẽ hạnh phúc ,play anything by cat stevens and i'll be happy
4485,query,Thời tiết sẽ như thế nào trong tuần này ,what is the weather going to be like this week
11717,recommendation_locations,thị trường gần bởi ,markets near by
15855,email_sendemail,Chuyển tiếp địa chỉ email đến email mới của tôi ,forward email address to my new email
13301,general_quirky,Giúp tôi ngủ ,help me get to sleep
12148,transport_ticket,"Tôi cần đến Bristol vào tối thứ Sáu, bạn có thể đặt vé cho tôi không ",i need to get to bristol friday night can you book me a ticket please
5929,news_query,Tin tức mới nhất từ CNN là gì ,what's the latest news from cnn
13659,qa_factoid,Ai đang hẹn hò với Rihanna ngay bây giờ ,who is rihanna dating right now
9616,play_radio,Chơi Rock Chín mươi tám điểm bảy trên Quay số FM xin vui lòng ,play rock ninety eight point seven on the fm dial please
3007,iot_hue_lightup,olly bạn có thể nâng cao ánh sáng cho tôi xin vui lòng ,olly can you raise the lights for me please
446,play_music,Chơi Metallica. ,play metallica
15945,email_query,Hỏi mạng của bạn ,ask your network
2612,datetime_query,hôm nay là ngày gì ,what is today
